id_amostra;data_analise;lote;umidade_pct;proteina_pct;extrato_etereo_pct;fibras_pct;materia_mineral_pct;urease_uph;solubilidade_pct;indice_qualidade;classe_qualidade
FS0031;2026-01-09;FS-2026-0004;12.54;45.97;2.02;5.79;4.0;0.054;82.62;82.0;Conforme
FS0032;2026-01-09;FS-2026-0004;12.4;46.15;1.9;4.65;4.51;0.137;81.42;85.13;Conforme
FS0033;2026-01-10;FS-2026-0004;12.67;46.56;1.81;5.08;4.58;0.06;82.71;87.08;Conforme
FS0034;2026-01-10;FS-2026-0004;12.71;45.55;1.2;4.61;4.08;0.081;81.33;80.73;Conforme
FS0035;2026-01-10;FS-2026-0004;12.0;46.68;1.82;4.4;4.3;0.115;81.55;82.22;Conforme
FS0036;2026-01-10;FS-2026-0004;12.46;45.49;1.2;4.8;4.49;0.06;82.61;79.75;Atencao
FS0037;2026-01-11;FS-2026-0004;12.48;46.39;1.69;4.14;4.3;0.104;83.48;92.09;Excelente
FS0038;2026-01-11;FS-2026-0004;12.23;46.49;1.77;4.6;4.12;0.171;83.48;81.88;Conforme
FS0039;2026-01-11;FS-2026-0004;12.89;46.4;1.54;5.87;4.71;0.059;80.43;79.59;Atencao
FS0040;2026-01-11;FS-2026-0004;12.17;46.64;1.66;3.95;4.72;0.129;82.77;84.62;Conforme
FS0041;2026-01-12;FS-2026-0005;12.61;45.96;1.69;5.35;4.42;0.119;82.63;85.0;Conforme
FS0042;2026-01-12;FS-2026-0005;12.5;46.23;1.92;5.08;4.3;0.061;81.67;85.84;Conforme
FS0043;2026-01-12;FS-2026-0005;12.31;46.15;1.94;4.53;4.37;0.091;83.06;86.47;Conforme
FS0044;2026-01-12;FS-2026-0005;12.48;46.58;1.2;4.15;4.47;0.176;82.93;90.81;Excelente
FS0045;2026-01-13;FS-2026-0005;12.97;46.27;1.3;4.82;4.69;0.044;82.13;80.98;Conforme
FS0046;2026-01-13;FS-2026-0005;12.97;46.82;1.6;4.39;4.31;0.126;81.37;84.87;Conforme
FS0047;2026-01-13;FS-2026-0005;12.54;45.52;2.04;5.53;4.2;0.09;82.92;83.31;Conforme
FS0048;2026-01-13;FS-2026-0005;12.42;46.02;1.44;4.33;4.4;0.14;83.25;88.58;Excelente
FS0049;2026-01-14;FS-2026-0005;12.83;46.41;1.64;5.36;4.46;0.112;83.1;85.85;Conforme
FS0050;2026-01-14;FS-2026-0005;12.7;46.03;2.11;4.8;4.71;0.16;83.0;83.59;Conforme
FS0051;2026-01-14;FS-2026-0006;12.49;46.29;1.97;4.4;5.0;0.09;83.67;87.55;Conforme
FS0052;2026-01-14;FS-2026-0006;12.73;45.66;1.96;3.85;4.91;0.08;82.49;84.54;Conforme
FS0053;2026-01-15;FS-2026-0006;12.43;47.0;2.04;4.09;4.79;0.024;81.59;87.97;Conforme
FS0054;2026-01-15;FS-2026-0006;12.61;45.29;2.02;3.98;4.26;0.049;83.06;83.08;Conforme
FS0055;2026-01-15;FS-2026-0006;12.41;46.07;1.2;4.47;4.69;0.038;82.2;86.1;Conforme
FS0056;2026-01-15;FS-2026-0006;12.86;45.86;1.51;3.91;4.79;0.115;82.06;82.31;Conforme
FS0057;2026-01-16;FS-2026-0006;12.3;46.25;1.97;4.93;4.44;0.124;81.84;83.09;Conforme
FS0058;2026-01-16;FS-2026-0006;12.35;45.89;2.16;4.01;4.57;0.147;81.5;82.33;Conforme
FS0059;2026-01-16;FS-2026-0006;12.62;46.13;1.43;5.66;4.86;0.02;82.13;82.03;Conforme
FS0060;2026-01-16;FS-2026-0006;12.08;45.94;1.36;4.63;4.51;0.15;83.86;83.77;Conforme
FS0061;2026-01-17;FS-2026-0007;12.36;46.17;1.24;4.83;5.0;0.07;83.19;84.27;Conforme
FS0062;2026-01-17;FS-2026-0007;12.63;46.39;1.56;3.95;4.0;0.131;82.21;88.51;Excelente
FS0063;2026-01-17;FS-2026-0007;12.1;46.01;1.36;4.59;4.0;0.039;82.6;79.19;Atencao
FS0064;2026-01-17;FS-2026-0007;12.3;45.5;1.47;5.01;4.87;0.179;81.48;77.49;Atencao
FS0065;2026-01-18;FS-2026-0007;12.44;45.55;1.87;4.71;4.17;0.053;81.84;78.69;Atencao
FS0066;2026-01-18;FS-2026-0007;12.39;46.34;2.28;3.87;4.59;0.099;81.51;88.52;Excelente
FS0067;2026-01-18;FS-2026-0007;12.54;46.33;2.05;4.57;4.58;0.138;81.06;84.08;Conforme
FS0068;2026-01-18;FS-2026-0007;13.0;46.11;1.45;5.05;4.29;0.171;79.91;76.73;Atencao
FS0069;2026-01-19;FS-2026-0007;12.33;46.47;1.78;4.97;4.19;0.149;80.63;81.88;Conforme
FS0070;2026-01-19;FS-2026-0007;12.77;46.49;1.73;4.11;4.39;0.059;82.51;86.95;Conforme
FS0071;2026-01-19;FS-2026-0008;12.41;45.5;1.35;5.03;4.77;0.103;83.39;84.5;Conforme
FS0072;2026-01-19;FS-2026-0008;12.04;46.21;2.23;4.59;4.33;0.059;82.8;80.96;Conforme
FS0073;2026-01-20;FS-2026-0008;12.44;46.76;2.02;4.2;4.6;0.089;82.94;92.94;Excelente
FS0074;2026-01-20;FS-2026-0008;12.45;46.12;1.97;4.71;4.4;0.106;81.44;86.44;Conforme
FS0075;2026-01-20;FS-2026-0008;12.32;46.65;1.9;4.87;4.2;0.068;81.77;84.53;Conforme
FS0076;2026-01-20;FS-2026-0008;12.66;46.23;1.6;4.49;4.46;0.148;82.42;86.68;Conforme
FS0077;2026-01-21;FS-2026-0008;12.43;45.97;1.48;4.76;4.28;0.026;83.35;87.42;Conforme
FS0078;2026-01-21;FS-2026-0008;12.42;46.09;1.97;5.17;4.51;0.05;82.12;83.31;Conforme
FS0079;2026-01-21;FS-2026-0008;12.25;46.75;2.07;5.1;4.67;0.059;81.96;83.08;Conforme
FS0080;2026-01-21;FS-2026-0008;12.65;45.84;1.2;4.52;4.54;0.116;81.34;82.27;Conforme
FS0081;2026-01-22;FS-2026-0009;12.93;45.87;1.54;4.04;4.71;0.065;82.64;80.66;Conforme
FS0082;2026-01-22;FS-2026-0009;12.61;47.0;1.82;3.97;4.17;0.092;80.45;90.77;Excelente
FS0083;2026-01-22;FS-2026-0009;12.0;46.46;1.23;5.64;4.01;0.05;81.06;78.81;Atencao
FS0084;2026-01-22;FS-2026-0009;12.33;46.5;1.82;4.49;4.49;0.139;82.76;90.22;Excelente
FS0085;2026-01-23;FS-2026-0009;12.57;46.42;1.62;4.71;4.63;0.139;79.77;83.81;Conforme
FS0086;2026-01-23;FS-2026-0009;12.24;45.83;1.51;4.98;4.4;0.133;81.25;79.86;Atencao
FS0087;2026-01-23;FS-2026-0009;12.43;46.23;2.2;4.23;5.0;0.091;82.58;86.67;Conforme
FS0088;2026-01-23;FS-2026-0009;12.99;45.78;1.77;4.3;4.75;0.039;80.45;74.89;Atencao
FS0089;2026-01-24;FS-2026-0009;12.31;46.06;1.99;4.37;4.23;0.122;83.92;87.05;Conforme
FS0090;2026-01-24;FS-2026-0009;12.39;46.15;1.27;4.35;4.63;0.093;82.17;88.18;Excelente
FS0091;2026-01-24;FS-2026-0010;12.79;46.27;1.94;5.0;4.35;0.131;82.36;84.19;Conforme
FS0092;2026-01-24;FS-2026-0010;12.81;45.68;1.74;4.23;4.52;0.14;82.87;82.58;Conforme
FS0093;2026-01-25;FS-2026-0010;12.4;45.57;1.75;5.17;4.56;0.2;83.71;80.27;Conforme
FS0094;2026-01-25;FS-2026-0010;12.16;46.23;2.26;6.0;4.71;0.121;82.72;83.06;Conforme
FS0095;2026-01-25;FS-2026-0010;12.43;45.83;1.57;4.7;4.88;0.111;81.13;82.81;Conforme
FS0096;2026-01-25;FS-2026-0010;12.5;46.16;1.2;4.72;4.66;0.155;81.68;84.37;Conforme
FS0097;2026-01-26;FS-2026-0010;12.34;45.6;1.29;3.57;4.62;0.085;83.74;87.44;Conforme
FS0098;2026-01-26;FS-2026-0010;12.51;46.1;1.77;3.85;4.83;0.07;82.11;87.06;Conforme
FS0099;2026-01-26;FS-2026-0010;12.0;46.26;1.22;5.07;4.26;0.092;81.98;82.44;Conforme
FS0100;2026-01-26;FS-2026-0010;12.78;46.17;2.09;4.34;4.77;0.07;82.84;84.12;Conforme
FS0101;2026-01-27;FS-2026-0011;12.46;46.07;1.51;4.91;4.08;0.048;81.46;84.75;Conforme
FS0102;2026-01-27;FS-2026-0011;12.4;46.38;1.53;4.47;4.34;0.034;81.93;90.07;Excelente
FS0103;2026-01-27;FS-2026-0011;12.97;46.48;1.85;4.83;4.48;0.131;80.61;82.7;Conforme
FS0104;2026-01-27;FS-2026-0011;12.84;46.15;2.18;4.8;4.67;0.111;82.78;83.05;Conforme
FS0105;2026-01-28;FS-2026-0011;12.57;45.58;2.09;5.31;4.22;0.072;81.15;79.36;Atencao
FS0106;2026-01-28;FS-2026-0011;12.2;45.81;1.31;4.34;4.44;0.148;82.39;82.3;Conforme
FS0107;2026-01-28;FS-2026-0011;12.57;45.98;1.52;5.21;4.47;0.172;80.9;83.71;Conforme
FS0108;2026-01-28;FS-2026-0011;12.61;45.77;1.2;4.43;4.14;0.09;83.73;86.04;Conforme
FS0109;2026-01-29;FS-2026-0011;12.76;45.72;1.58;4.27;4.48;0.204;81.74;78.62;Atencao
FS0110;2026-01-29;FS-2026-0011;12.62;45.91;2.11;4.92;4.27;0.115;81.79;82.33;Conforme
FS0111;2026-01-29;FS-2026-0012;12.22;46.29;1.56;4.52;4.28;0.173;82.97;84.32;Conforme
FS0112;2026-01-29;FS-2026-0012;12.62;46.52;1.91;4.62;4.46;0.138;82.75;88.19;Excelente
FS0113;2026-01-30;FS-2026-0012;12.54;45.68;1.67;4.79;4.58;0.036;82.28;81.54;Conforme
FS0114;2026-01-30;FS-2026-0012;12.64;45.54;1.47;4.82;4.4;0.165;80.28;77.41;Atencao
FS0115;2026-01-30;FS-2026-0012;12.72;46.33;2.08;4.67;4.41;0.188;79.75;81.21;Conforme
FS0116;2026-01-30;FS-2026-0012;12.81;46.29;1.98;4.56;4.5;0.05;81.45;83.56;Conforme
FS0117;2026-01-31;FS-2026-0012;12.25;45.75;1.47;4.79;4.57;0.06;82.59;80.32;Conforme
FS0118;2026-01-31;FS-2026-0012;12.26;45.98;1.61;5.32;4.54;0.019;82.11;80.68;Conforme
FS0119;2026-01-31;FS-2026-0012;12.77;46.16;1.72;4.04;4.45;0.089;84.62;91.61;Excelente
FS0120;2026-01-31;FS-2026-0012;12.2;45.9;1.33;3.51;4.44;0.078;82.03;85.59;Conforme
FS0121;2026-02-01;FS-2026-0013;12.5;46.98;1.2;4.57;4.15;0.116;82.41;89.66;Excelente
FS0122;2026-02-01;FS-2026-0013;12.33;45.29;1.54;4.13;4.58;0.174;81.23;80.29;Conforme
FS0123;2026-02-01;FS-2026-0013;12.76;45.7;1.66;4.27;4.72;0.194;84.67;82.39;Conforme
FS0124;2026-02-01;FS-2026-0013;12.87;45.6;1.85;5.13;4.58;0.141;82.37;78.57;Atencao
FS0125;2026-02-02;FS-2026-0013;12.48;46.97;2.11;4.63;4.42;0.202;81.51;87.56;Conforme
FS0126;2026-02-02;FS-2026-0013;12.48;46.07;1.85;4.39;4.26;0.145;82.78;84.41;Conforme
FS0127;2026-02-02;FS-2026-0013;12.48;45.97;1.86;4.19;4.34;0.097;82.77;90.13;Excelente
FS0128;2026-02-02;FS-2026-0013;12.78;46.14;2.07;4.34;4.57;0.159;80.02;80.06;Conforme
FS0129;2026-02-03;FS-2026-0013;12.25;45.99;1.64;4.17;4.56;0.03;81.84;82.43;Conforme
FS0130;2026-02-03;FS-2026-0013;12.47;46.1;1.36;4.14;4.95;0.031;83.78;87.05;Conforme
FS0131;2026-02-03;FS-2026-0014;12.45;45.96;2.04;4.13;4.38;0.047;83.15;84.74;Conforme
FS0132;2026-02-03;FS-2026-0014;12.66;46.51;1.63;5.22;4.39;0.033;83.16;86.89;Conforme
FS0133;2026-02-04;FS-2026-0014;12.42;45.45;1.96;3.68;4.36;0.119;81.0;81.04;Conforme
FS0134;2026-02-04;FS-2026-0014;12.25;46.68;2.15;4.44;4.41;0.046;82.19;84.75;Conforme
FS0135;2026-02-04;FS-2026-0014;12.62;45.92;1.79;4.87;4.5;0.19;81.06;79.76;Atencao
FS0136;2026-02-04;FS-2026-0014;12.35;46.05;2.12;5.32;4.58;0.068;81.93;83.61;Conforme
FS0137;2026-02-05;FS-2026-0014;12.68;45.96;1.78;4.44;4.35;0.111;80.51;83.29;Conforme
FS0138;2026-02-05;FS-2026-0014;12.64;46.26;1.75;4.38;4.56;0.036;82.25;88.32;Excelente
FS0139;2026-02-05;FS-2026-0014;12.78;45.58;1.92;4.69;4.26;0.066;83.23;81.19;Conforme
FS0140;2026-02-05;FS-2026-0014;12.76;45.71;1.72;4.93;4.76;0.07;80.81;79.01;Atencao
FS0141;2026-02-06;FS-2026-0015;12.29;46.02;1.61;4.83;4.43;0.155;82.29;84.62;Conforme
FS0142;2026-02-06;FS-2026-0015;12.15;46.82;2.43;3.71;4.35;0.035;82.94;85.19;Conforme
FS0143;2026-02-06;FS-2026-0015;12.32;46.77;1.51;4.56;4.43;0.083;83.04;91.79;Excelente
FS0144;2026-02-06;FS-2026-0015;12.24;45.45;1.73;4.0;4.58;0.092;81.69;81.74;Conforme
FS0145;2026-02-07;FS-2026-0015;12.67;45.86;2.03;5.37;4.7;0.086;80.92;80.81;Conforme
FS0146;2026-02-07;FS-2026-0015;12.51;46.37;1.78;4.56;4.26;0.197;82.89;86.59;Conforme
FS0147;2026-02-07;FS-2026-0015;12.06;46.5;2.15;4.12;5.0;0.109;81.95;86.81;Conforme
FS0148;2026-02-07;FS-2026-0015;12.0;46.38;1.98;3.96;4.45;0.119;81.34;83.96;Conforme
FS0149;2026-02-08;FS-2026-0015;12.35;46.15;2.09;4.65;4.46;0.018;83.85;83.47;Conforme
FS0150;2026-02-08;FS-2026-0015;12.45;45.96;1.65;5.28;4.42;0.154;82.28;86.28;Conforme
FS0151;2026-02-08;FS-2026-0016;12.94;46.18;1.93;4.79;4.0;0.096;83.49;83.0;Conforme
FS0152;2026-02-08;FS-2026-0016;12.73;45.95;1.91;5.14;4.47;0.105;80.45;80.87;Conforme
FS0153;2026-02-09;FS-2026-0016;12.23;45.57;1.79;4.14;4.09;0.103;79.89;78.81;Atencao
FS0154;2026-02-09;FS-2026-0016;12.13;46.39;1.86;4.7;4.52;0.137;82.06;84.81;Conforme
FS0155;2026-02-09;FS-2026-0016;12.65;46.21;1.87;4.4;4.44;0.089;82.53;86.45;Conforme
FS0156;2026-02-09;FS-2026-0016;12.29;46.07;2.28;4.51;4.15;0.109;82.96;84.38;Conforme
FS0157;2026-02-10;FS-2026-0016;12.2;46.27;1.69;4.61;4.43;0.037;80.87;82.46;Conforme
FS0158;2026-02-10;FS-2026-0016;12.13;46.86;1.97;4.34;4.28;0.081;82.48;89.14;Excelente
FS0159;2026-02-10;FS-2026-0016;12.12;45.72;2.3;5.33;4.4;0.089;82.44;79.42;Atencao
FS0160;2026-02-10;FS-2026-0016;12.6;45.8;1.69;5.41;4.88;0.092;83.5;84.83;Conforme
FS0161;2026-02-11;FS-2026-0017;12.49;47.0;1.79;4.86;4.37;0.14;82.05;89.57;Excelente
FS0162;2026-02-11;FS-2026-0017;12.62;46.24;1.3;5.27;5.0;0.045;81.9;84.91;Conforme
FS0163;2026-02-11;FS-2026-0017;12.19;45.57;1.54;3.5;4.24;0.083;82.71;83.04;Conforme
FS0164;2026-02-11;FS-2026-0017;12.69;46.07;1.82;5.36;4.57;0.098;81.87;83.64;Conforme
FS0165;2026-02-12;FS-2026-0017;12.0;46.62;2.19;4.54;4.76;0.036;83.88;82.56;Conforme
FS0166;2026-02-12;FS-2026-0017;12.39;46.44;1.28;6.0;4.74;0.027;81.96;85.53;Conforme
FS0167;2026-02-12;FS-2026-0017;12.65;45.99;2.09;5.18;4.61;0.131;79.32;78.51;Atencao
FS0168;2026-02-12;FS-2026-0017;13.0;46.02;1.96;4.21;4.56;0.082;81.93;80.89;Conforme
FS0169;2026-02-13;FS-2026-0017;12.74;46.7;1.78;4.79;4.57;0.05;82.23;87.84;Conforme
FS0170;2026-02-13;FS-2026-0017;12.3;45.72;2.04;4.61;4.86;0.215;82.51;77.78;Atencao
FS0171;2026-02-13;FS-2026-0018;12.19;46.71;2.04;5.06;4.39;0.094;83.62;88.71;Excelente
FS0172;2026-02-13;FS-2026-0018;12.05;46.6;1.94;4.93;4.44;0.084;81.68;81.74;Conforme
FS0173;2026-02-14;FS-2026-0018;12.07;47.0;2.07;4.15;4.4;0.062;82.02;87.72;Conforme
FS0174;2026-02-14;FS-2026-0018;12.56;45.77;1.31;4.3;4.21;0.058;82.1;83.66;Conforme
FS0175;2026-02-14;FS-2026-0018;12.56;46.42;1.97;4.29;4.22;0.058;81.62;86.6;Conforme
FS0176;2026-02-14;FS-2026-0018;12.01;46.81;1.2;5.05;4.96;0.058;84.31;86.4;Conforme
FS0177;2026-02-15;FS-2026-0018;12.83;45.87;1.7;4.18;4.59;0.072;83.44;84.58;Conforme
FS0178;2026-02-15;FS-2026-0018;13.0;45.95;1.2;4.29;4.68;0.167;83.31;81.65;Conforme
FS0179;2026-02-15;FS-2026-0018;12.34;46.51;2.1;4.19;4.48;0.08;84.68;91.2;Excelente
FS0180;2026-02-15;FS-2026-0018;12.95;45.86;1.54;5.51;4.55;0.078;81.95;80.31;Conforme
FS0181;2026-02-16;FS-2026-0019;12.0;46.33;1.9;3.55;4.22;0.087;82.3;84.95;Conforme
FS0182;2026-02-16;FS-2026-0019;12.61;45.93;1.81;4.71;4.24;0.024;81.66;81.66;Conforme
FS0183;2026-02-16;FS-2026-0019;12.43;45.4;1.2;5.39;4.68;0.038;81.65;80.17;Conforme
FS0184;2026-02-16;FS-2026-0019;12.68;46.05;1.51;5.24;4.42;0.073;81.87;82.96;Conforme
FS0185;2026-02-17;FS-2026-0019;12.16;46.56;2.25;3.8;4.69;0.082;83.19;87.48;Conforme
FS0186;2026-02-17;FS-2026-0019;13.0;45.6;1.24;5.0;4.64;0.066;82.34;78.55;Atencao
FS0187;2026-02-17;FS-2026-0019;12.65;46.61;1.65;4.56;4.56;0.119;80.04;86.3;Conforme
FS0188;2026-02-17;FS-2026-0019;12.69;46.08;1.94;4.78;4.17;0.121;82.3;82.84;Conforme
FS0189;2026-02-18;FS-2026-0019;12.3;46.28;1.44;3.91;4.4;0.049;82.3;86.69;Conforme
FS0190;2026-02-18;FS-2026-0019;12.26;46.4;1.86;3.91;4.47;0.126;83.69;90.66;Excelente
FS0191;2026-02-18;FS-2026-0020;12.6;45.61;2.26;4.98;4.82;0.213;81.1;77.03;Atencao
FS0192;2026-02-18;FS-2026-0020;12.82;46.45;1.77;4.74;4.65;0.106;82.01;85.78;Conforme
FS0193;2026-02-19;FS-2026-0020;12.42;47.0;1.76;4.15;4.23;0.103;82.9;93.11;Excelente
FS0194;2026-02-19;FS-2026-0020;12.39;45.77;2.16;4.32;4.37;0.104;81.98;83.77;Conforme
FS0195;2026-02-19;FS-2026-0020;12.63;46.12;1.63;4.64;4.32;0.047;83.63;87.4;Conforme
FS0196;2026-02-19;FS-2026-0020;12.17;46.44;1.35;4.31;4.53;0.072;84.28;88.27;Excelente
FS0197;2026-02-20;FS-2026-0020;12.34;45.77;1.39;4.97;4.72;0.105;83.62;85.1;Conforme
FS0198;2026-02-20;FS-2026-0020;12.36;46.19;2.21;4.39;4.54;0.094;82.18;86.67;Conforme
FS0199;2026-02-20;FS-2026-0020;12.41;46.23;1.62;4.31;4.67;0.182;80.02;81.86;Conforme
FS0200;2026-02-20;FS-2026-0020;12.68;46.08;1.91;4.93;4.68;0.036;82.19;81.95;Conforme
FS0201;2026-02-21;FS-2026-0021;12.68;45.74;1.38;4.68;4.3;0.093;82.2;85.43;Conforme
FS0202;2026-02-21;FS-2026-0021;12.23;46.78;2.45;4.41;4.33;0.056;83.15;86.41;Conforme
FS0203;2026-02-21;FS-2026-0021;12.28;46.48;1.29;4.9;4.75;0.139;81.72;85.46;Conforme
FS0204;2026-02-21;FS-2026-0021;12.3;46.77;1.82;4.14;4.51;0.151;81.05;86.71;Conforme
FS0205;2026-02-22;FS-2026-0021;12.75;45.35;1.45;4.5;4.95;0.125;81.99;80.45;Conforme
FS0206;2026-02-22;FS-2026-0021;12.76;46.58;1.69;5.16;4.47;0.036;82.23;86.07;Conforme
FS0207;2026-02-22;FS-2026-0021;12.55;46.52;1.52;5.23;4.34;0.069;82.18;90.19;Excelente
FS0208;2026-02-22;FS-2026-0021;12.5;45.76;2.05;3.55;4.15;0.133;81.35;85.35;Conforme
FS0209;2026-02-23;FS-2026-0021;12.39;45.66;1.95;4.02;4.47;0.179;81.14;81.44;Conforme
FS0210;2026-02-23;FS-2026-0021;12.02;45.59;1.68;4.78;4.33;0.082;82.36;76.85;Atencao
FS0211;2026-02-23;FS-2026-0022;12.39;46.07;1.97;4.69;4.62;0.203;83.85;84.32;Conforme
FS0212;2026-02-23;FS-2026-0022;12.44;46.3;1.64;4.0;4.66;0.035;84.36;86.67;Conforme
FS0213;2026-02-24;FS-2026-0022;12.45;46.17;1.47;4.67;4.72;0.121;82.32;87.57;Conforme
FS0214;2026-02-24;FS-2026-0022;13.0;46.85;1.95;3.5;4.7;0.076;83.91;88.17;Excelente
FS0215;2026-02-24;FS-2026-0022;12.39;46.08;1.25;4.46;4.67;0.071;80.86;85.87;Conforme
FS0216;2026-02-24;FS-2026-0022;12.16;46.64;1.83;4.39;4.33;0.116;83.73;89.91;Excelente
FS0217;2026-02-25;FS-2026-0022;12.22;46.18;1.85;3.78;4.22;0.067;83.62;89.13;Excelente
FS0218;2026-02-25;FS-2026-0022;12.31;45.75;2.2;4.73;4.99;0.084;81.32;80.25;Conforme
FS0219;2026-02-25;FS-2026-0022;12.0;45.72;1.38;4.95;4.67;0.052;80.63;76.11;Atencao
FS0220;2026-02-25;FS-2026-0022;12.32;45.37;1.49;5.29;4.56;0.043;82.23;79.52;Atencao
FS0221;2026-02-26;FS-2026-0023;12.57;46.07;1.86;4.13;4.12;0.091;82.62;86.28;Conforme
FS0222;2026-02-26;FS-2026-0023;12.06;46.81;1.2;4.23;4.08;0.189;80.91;84.08;Conforme
FS0223;2026-02-26;FS-2026-0023;12.54;45.92;1.42;5.05;4.39;0.035;82.77;85.54;Conforme
FS0224;2026-02-26;FS-2026-0023;12.49;46.51;1.69;4.66;4.61;0.077;82.68;91.51;Excelente
FS0225;2026-02-27;FS-2026-0023;13.0;46.29;1.99;4.67;4.59;0.163;83.31;81.22;Conforme
FS0226;2026-02-27;FS-2026-0023;12.36;45.89;1.52;5.3;4.58;0.089;83.79;88.73;Excelente
FS0227;2026-02-27;FS-2026-0023;12.7;46.09;2.04;4.08;4.94;0.109;82.24;82.84;Conforme
FS0228;2026-02-27;FS-2026-0023;12.08;46.04;1.75;4.54;4.41;0.088;82.52;83.0;Conforme
FS0229;2026-02-28;FS-2026-0023;12.64;46.31;1.24;5.35;4.54;0.118;81.65;87.35;Conforme
FS0230;2026-02-28;FS-2026-0023;12.73;46.83;2.05;3.56;4.69;0.107;83.49;93.3;Excelente
FS0231;2026-02-28;FS-2026-0024;12.8;45.74;1.87;3.5;4.48;0.075;82.26;82.97;Conforme
FS0232;2026-02-28;FS-2026-0024;12.63;46.2;2.22;4.66;4.49;0.123;83.38;86.6;Conforme
FS0233;2026-03-01;FS-2026-0024;12.93;45.86;2.13;3.61;4.37;0.07;82.37;82.64;Conforme
FS0234;2026-03-01;FS-2026-0024;12.35;46.22;1.98;5.79;4.38;0.037;80.84;80.33;Conforme
FS0235;2026-03-01;FS-2026-0024;12.49;46.85;1.93;4.37;4.46;0.114;80.41;91.81;Excelente
FS0236;2026-03-01;FS-2026-0024;12.53;46.57;1.62;4.28;4.18;0.081;83.71;90.56;Excelente
FS0237;2026-03-02;FS-2026-0024;12.51;45.52;1.39;5.13;4.41;0.058;80.32;81.22;Conforme
FS0238;2026-03-02;FS-2026-0024;12.68;46.36;1.43;5.5;4.55;0.122;82.39;87.2;Conforme
